Parameters: V_min=17.1, V_max=21, V_step=0.1, qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001
V_ext,x_min,x_max,x_f,T'_f,V_f,V'_f
17.1,-0.993133,-0.154304,-0.344676226618018, -0.0280655253860625, 0.214995950180163, -1.42266118255239
17.2,-0.688806177291603,-0.231673559885808,-0.550547537560654, -0.0105723783940688, 0.597281981434496, -2.61663913660944
17.3,-0.655200653273921,-0.245708652244425,-0.433747789066755, 0.000377310154826144, 1.13484092938415, -5.31867157253014
17.4,-0.610960307018876,-0.261249723405478,-0.540800509995637, -0.00225431766405516, 1.08143622205814, -4.2832894863867
17.5,-0.584090758673948,-0.27567163383292,-0.496042634533334, -0.00453725714821816, 1.00979997466947, -4.6480942193748
17.6,-0.559313679901569,-0.289869404678676,-0.540214345832052, -0.0092037234535619, 0.819955424613191, -3.83741625768348
17.7,-0.540212754816807,-0.303880773805158,-0.33777007921333, -0.0427316262223986, 0.299938873137474, -3.07573735473418
17.8,-0.511486935779408,-0.322656921650322,-0.344606619028031, -0.0419717699008814, 0.348065063376862, -3.59323722455772
17.9,-0.486429893647592,-0.339768005692272,-0.428577484993511, -0.026356469043712, 0.478323819011709, -3.52519606721461
18,-0.459329178097378,-0.359950429329486,-0.421528317456113, -0.0257266826355382, 0.559114482584522, -4.24871312556705
18.1,-0.421791472786587,-0.390987745147304,-0.40625678254703, -0.0287164594469515, 0.51895037354373, -4.19345263737571
18.2,-0.406359882978307,-0.404046857103798,-0.405212920169529, -0.0287387690233277, 0.518251524004021, -4.18599601708011
18.3,-0.405212922122296,-0.402890198467228,-0.404068055879533, -0.028810543615755, 0.516308108542615, -4.17124171365788
18.4,-0.404068055864328,-0.401772613051462,-0.402929213990149, -0.0288817172686235, 0.514374741181904, -4.15653997103103
18.5,-0.402929213978656,-0.400659844173293,-0.401796027966006, -0.0289522120243679, 0.512455622302833, -4.14192631899189
18.6,-0.401796027955466,-0.399551972165088,-0.400668306429327, -0.0290220593978027, 0.510550307389882, -4.12739995209928
18.7,-0.400668306418828,-0.398449069302052,-0.399545984777966, -0.0290912663664031, 0.508658610380794, -4.11295994070505
18.8,-0.399545984767466,-0.39735108990402,-0.398429002553185, -0.0291598388346139, 0.50678036785868, -4.09860546022709
18.9,-0.398429002542686,-0.39625798562289,-0.397317300101884, -0.0292277826443778, 0.504915419581508, -4.08433570160442
19,-0.397317300091384,-0.395169708913439,-0.396210818766768, -0.0292951035554967, 0.50306360810533, -4.07014986541294
19.1,-0.396210818756268,-0.394086212849867,-0.395109500884378, -0.0293618072429256, 0.501224778767795, -4.05604716180443
19.2,-0.395109500873878,-0.393007451115373,-0.394013289761526, -0.0294278992985667, 0.49939877962359, -4.04202681038166
19.3,-0.394013289751026,-0.391933377978624,-0.392922129654793, -0.029493385232608, 0.497585461383167, -4.02808804007861
19.4,-0.392922129644293,-0.390863948301825,-0.391835965748803, -0.0295582704752652, 0.495784677346694, -4.01423008901193
19.5,-0.391835965738303,-0.389799117519585,-0.390754744136529, -0.0296225603779563, 0.493996283356637, -4.00045220444139
19.6,-0.390754744126029,-0.388738841642142,-0.389678411794192, -0.0296862602158875, 0.492220137717388, -3.98675364254616
19.7,-0.389678411783692,-0.387683077249395,-0.388606916568996, -0.0297493751881148, 0.490456101159458, -3.97313366836397
19.8,-0.388606916558496,-0.38663178147605,-0.387540207156406, -0.0298119104194503, 0.4887040367856, -3.95959155573267
19.9,-0.387540207145906,-0.385584912006122,-0.386478233078139, -0.0298738709628407, 0.486963809992941, -3.94612658703106
20,-0.386478233067639,-0.384542427075688,-0.385420944672435, -0.0299352617988432, 0.485235288457695, -3.93273805323343
20.1,-0.385420944661935,-0.383504285453331,-0.384368293068119, -0.0299960878388295, 0.483518342048432, -3.91942525362571
20.2,-0.384368293057619,-0.382470446439928,-0.383320230171585, -0.030056353925155, 0.481812842806263, -3.90618749586899
20.3,-0.383320230161085,-0.381440869858447,-0.382276708652501, -0.030116064832335, 0.48011866488351, -3.89302409573769
20.4,-0.382276708642001,-0.380415516050404,-0.381237681920086, -0.0301752252694903, 0.478435684491848, -3.87993437708301
20.5,-0.381237681909586,-0.379394345866353,-0.380203104116486, -0.0302338398798189, 0.476763779878965, -3.86691767175771
20.6000000000001,-0.380203104105986,-0.378377320657958,-0.379172930094605, -0.0302919132432801, 0.475102831256768, -3.85397331938792
20.7000000000001,-0.379172930084105,-0.377364402275787,-0.378147115405639, -0.030349449876878, 0.473452720784455, -3.8411006674313
20.8000000000001,-0.378147115395139,-0.376355553056242,-0.377125616286526, -0.03040645423589, 0.47181333250913, -3.82829907090238
20.9000000000001,-0.377125616276026,-0.37535073581582,-0.376108389640851, -0.0304629307154184, 0.470184552335074, -3.81556789241799
21.0000000000001,-0.377125616276026,-0.37535073581582,-0.376108389640851, -0.0304629307154184, 0.470184552335074, -3.81556789241799
