Parameters: V_min=1.1, V_max=3, V_step=0.1, qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001
V_ext,x_min,x_max,x_f,T'_f,V_f,V'_f
1.1,-0.993133,-0.951061,-0.951061476047789, 0.000368911183558053, 0.807989038581724, -1.78743631513007
1.2,-0.951061476037313,-0.950393232361141,-0.950393232361141, 0.000438139821783302, 0.880137858176075, -1.95501879152966
1.3,-0.950393232350664,-0.949677255702374,-0.949677255702374, 0.000513056565641006, 0.951964175658118, -2.12383043574675
1.4,-0.949677255691895,-0.948906209374993,-0.948906209374993, 0.000593556830954529, 1.02342602054269, -2.29402086185944
1.5,-0.948906209364512,-0.948070931889991,-0.948070931889991, 0.00067951107257885, 1.09447156943337, -2.46577342165142
1.6,-0.948070931879508,-0.947159780030957,-0.947159780030957, 0.000770755832878271, 1.16503569262154, -2.63931667580181
1.7,-0.947159780020474,-0.946157648564753,-0.946157648564753, 0.000867080337066893, 1.23503482409495, -2.8149412811897
1.8,-0.946157648554267,-0.94504445580869,-0.94504445580869, 0.000968205677203648, 1.30435906946534, -2.99302572296419
1.9,-0.945044455798202,-0.943792705408117,-0.943792705408117, 0.00107375106220752, 1.37285954825099, -3.17407714462943
2,-0.943792705397628,-0.942363359743619,-0.942363359743619, 0.0011831761588014, 1.44032704203593, -3.35879938559807
2.1,-0.942363359733129,-0.940698411381041,-0.940698411381041, 0.00129567599482918, 1.50645365851462, -3.54821341247342
2.2,-0.940698411370549,-0.938706423694422,-0.938706423694422, 0.00140997295991589, 1.57075833615948, -3.74388739257152
2.3,-0.938706423683929,-0.936231360432557,-0.936231360432557, 0.00152385811017748, 1.63242628736432, -3.94842214747968
2.4,-0.936231360422061,-0.932975386014201,-0.932975386014201, 0.00163301763906801, 1.68991047578685, -4.16662257632236
2.5,-0.932975386003704,-0.928266048015098,-0.928266048015098, 0.00172730932903895, 1.73972139617726, -4.40890816310834
2.6,-0.928266048004599,-0.92013438220817,-0.920134397553778, 0.00177449454585388, 1.77153753769301, -4.70401188657909
2.7,-0.955670241693499,-0.250574871741387,-0.935934790128894, 0.00221117841637745, 1.64072825050475, -2.67067764593831
2.8,-0.955642812902878,-0.254160963904904,-0.91003255526844, 0.00277313209251279, 1.78694373620031, -3.46030127712301
2.9,-0.955624265785285,-0.25272704978055,-0.946034837479863, 0.00130801572775669, 1.24474355239225, -1.42941395678142
3,-0.955624265785285,-0.25272704978055,-0.946034837479863, 0.00130801572775669, 1.24474355239225, -1.42941395678142
