step,reward,width,CV2_at_target_frequency,centre_of_phase_lock,depth,V_DC,R_ext
0.0,0.4091553,0.015897393,0.18967402,0.040788054,0.25859064,4.1152697,517.8619
1.0,0.40317512,0.015405209,0.18983057,0.042694997,0.25005475,4.2152696,517.96185
2.0,0.38921475,0.01508697,0.17956257,0.043992445,0.2447467,4.283943,518.0619
3.0,0.38402945,0.014978432,0.17462383,0.044472303,0.24391174,4.310498,518.16187
4.0,0.38234192,0.014941713,0.17278253,0.044642746,0.24385837,4.320206,518.2619
5.0,0.3817686,0.01492861,0.17210181,0.044706218,0.2438892,4.323915,518.3619
6.0,0.38155612,0.014923353,0.1718233,0.04473348,0.24392271,4.325569,518.46185
7.0,0.38146272,0.014920713,0.17168093,0.044748574,0.24395394,4.3265305,518.5619
8.0,0.38140917,0.014918952,0.17158438,0.04475958,0.24398415,4.3272586,518.66187
9.0,0.3813691,0.014917486,0.17150319,0.04476921,0.24401423,4.3279085,518.7619
10.0,0.3813339,0.014916119,0.17142713,0.04477838,0.24404448,4.328532,518.8619
11.0,0.38130045,0.014914791,0.1713528,0.04478738,0.24407507,4.3291464,518.96185
12.0,0.38126785,0.014913474,0.17127892,0.044796336,0.24410607,4.329758,519.0619
13.0,0.38123587,0.014912166,0.17120533,0.04480525,0.24413747,4.330368,519.16187
14.0,0.3812043,0.014910859,0.17113173,0.044814162,0.2441693,4.330978,519.2619
15.0,0.3811732,0.01490956,0.17105818,0.044823054,0.24420153,4.331587,519.3619
16.0,0.3811425,0.0149082625,0.17098466,0.04483194,0.24423417,4.3321953,519.46185
17.0,0.38111213,0.014906968,0.17091107,0.044840813,0.24426723,4.3328037,519.5619
18.0,0.38108227,0.014905678,0.17083752,0.044849675,0.24430075,4.3334117,519.66187
19.0,0.3810528,0.01490439,0.17076394,0.044858534,0.2443347,4.3340197,519.7619
20.0,0.3810237,0.014903107,0.1706904,0.044867367,0.24436906,4.3346267,519.8619
21.0,0.38099498,0.014901825,0.17061678,0.04487621,0.24440384,4.335234,519.96185
22.0,0.38096687,0.01490055,0.17054334,0.044885024,0.24443907,4.33584,520.0619
23.0,0.38093895,0.014899274,0.17046967,0.044893853,0.24447468,4.3364472,520.16187
24.0,0.38091162,0.014898006,0.17039621,0.04490265,0.24451077,4.337053,520.2619
25.0,0.38088444,0.014896736,0.17032248,0.044911455,0.24454725,4.3376594,520.3619
26.0,0.38085794,0.014895472,0.170249,0.044920236,0.24458419,4.3382645,520.46185
27.0,0.3808318,0.014894212,0.17017546,0.044929013,0.24462155,4.3388696,520.5619
28.0,0.38080603,0.0148929525,0.17010185,0.044937786,0.24465936,4.3394747,520.66187
29.0,0.38078082,0.014891699,0.1700284,0.044946536,0.24469757,4.340079,520.7619
30.0,0.38075584,0.014890446,0.16995476,0.044955295,0.24473624,4.3406835,520.8619
31.0,0.38073134,0.0148891965,0.16988115,0.044964038,0.24477534,4.3412876,520.96185
32.0,0.38070735,0.014887953,0.1698077,0.044972762,0.24481484,4.341891,521.0619
33.0,0.38068378,0.014886712,0.1697342,0.04498148,0.2448548,4.342494,521.16187
34.0,0.38066065,0.014885474,0.16966076,0.044990186,0.24489518,4.3430967,521.2619
35.0,0.38063788,0.014884238,0.16958724,0.04499889,0.24493599,4.3436995,521.3619
36.0,0.38061547,0.014883005,0.16951367,0.045007586,0.24497725,4.344302,521.46185
37.0,0.38059372,0.014881777,0.16944024,0.045016266,0.24501897,4.344904,521.5619
38.0,0.38057217,0.014880549,0.16936669,0.045024946,0.2450611,4.345506,521.66187
39.0,0.38055128,0.014879328,0.16929333,0.0450336,0.24510367,4.346107,521.7619
40.0,0.38053071,0.014878108,0.16921987,0.045042258,0.2451467,4.3467083,521.8619
41.0,0.38051063,0.014876891,0.16914645,0.045050904,0.24519017,4.347309,521.96185
42.0,0.38049105,0.014875679,0.16907315,0.045059532,0.24523404,4.347909,522.0619
43.0,0.3804717,0.014874469,0.16899967,0.04506816,0.24527836,4.3485093,522.16187
44.0,0.3804529,0.014873261,0.16892622,0.045076784,0.24532317,4.3491096,522.2619
45.0,0.38043457,0.014872056,0.1688529,0.04508539,0.24536835,4.349709,522.3619
46.0,0.3804167,0.014870857,0.16877957,0.04509398,0.24541402,4.350308,522.46185
47.0,0.3803993,0.014869658,0.16870628,0.04510257,0.24546011,4.350907,522.5619
48.0,0.38038224,0.014868462,0.1686329,0.045111157,0.24550667,4.3515058,522.66187
49.0,0.38036585,0.014867274,0.16855977,0.04511971,0.24555366,4.352103,522.7619
50.0,0.38034967,0.014866083,0.1684864,0.04512828,0.24560107,4.3527017,522.8619
51.0,0.38033402,0.014864896,0.1684131,0.04513683,0.24564897,4.3532996,522.96185
52.0,0.38031888,0.0148637155,0.16833994,0.04514537,0.24569729,4.3538966,523.0619
53.0,0.38030413,0.0148625355,0.16826674,0.0451539,0.24574602,4.3544936,523.16187
54.0,0.3802899,0.01486136,0.16819362,0.04516242,0.24579522,4.35509,523.2619
55.0,0.38027602,0.014860184,0.16812032,0.045170948,0.24584492,4.355687,523.3619
56.0,0.38026264,0.014859015,0.1680473,0.04517944,0.24589494,4.3562827,523.46185
57.0,0.38024977,0.014857847,0.16797411,0.04518794,0.24594556,4.3568788,523.5619
58.0,0.38023728,0.014856683,0.16790102,0.04519643,0.24599652,4.3574743,523.66187
59.0,0.38022542,0.014855524,0.1678281,0.045204893,0.24604796,4.358069,523.7619
60.0,0.38021392,0.014854363,0.16775501,0.045213368,0.2460999,4.358664,523.8619
61.0,0.3802028,0.014853207,0.16768196,0.045221824,0.24615222,4.3592587,523.96185
62.0,0.38019225,0.014852055,0.16760902,0.045230273,0.24620502,4.359853,524.0619
63.0,0.3801822,0.014850906,0.16753614,0.045238707,0.24625824,4.3604465,524.16187
64.0,0.38017255,0.014849759,0.16746321,0.045247138,0.24631196,4.36104,524.2619
65.0,0.3801633,0.014848614,0.16739024,0.045255568,0.24636611,4.361634,524.3619
66.0,0.38015458,0.014847473,0.16731739,0.045263972,0.2464207,4.3622265,524.46185
67.0,0.38014638,0.014846337,0.16724466,0.04527237,0.24647571,4.3628187,524.5619
68.0,0.38013858,0.014845201,0.16717176,0.045280766,0.24653126,4.3634114,524.66187
69.0,0.38013124,0.014844067,0.16709897,0.045289155,0.24658719,4.3640037,524.7619
70.0,0.38012445,0.014842938,0.1670262,0.04529753,0.24664365,4.3645954,524.8619
71.0,0.38011813,0.014841814,0.16695362,0.045305885,0.24670044,4.365186,524.96185
72.0,0.38011217,0.0148406895,0.16688088,0.045314245,0.24675776,4.3657775,525.0619
73.0,0.38010675,0.014839567,0.1668082,0.045322593,0.24681553,4.3663683,525.16187
74.0,0.38010183,0.01483845,0.16673559,0.045330934,0.24687377,4.366959,525.2619
75.0,0.38009736,0.014837335,0.16666304,0.04533926,0.2469324,4.367549,525.3619
76.0,0.38009337,0.014836221,0.16659042,0.045347586,0.24699157,4.3681393,525.46185
77.0,0.38008994,0.014835115,0.16651803,0.045355886,0.24705113,4.368728,525.5619
78.0,0.38008684,0.014834005,0.16644548,0.04536419,0.24711116,4.3693175,525.66187
79.0,0.38008428,0.014832901,0.16637298,0.04537249,0.2471717,4.369907,525.7619
80.0,0.3800822,0.0148318,0.16630061,0.045380767,0.24723262,4.3704953,525.8619
81.0,0.38008064,0.014830701,0.16622823,0.045389045,0.24729405,4.3710837,525.96185
82.0,0.3800795,0.014829606,0.1661559,0.045397308,0.24735592,4.3716717,526.0619
83.0,0.38007885,0.014828512,0.16608359,0.045405563,0.24741822,4.372259,526.16187
84.0,0.38007873,0.014827422,0.1660113,0.04541381,0.24748102,4.3728466,526.2619
85.0,0.38007897,0.014826332,0.16593899,0.04542206,0.24754426,4.373434,526.3619
86.0,0.3800798,0.014825249,0.16586685,0.04543028,0.24760793,4.3740206,526.46185
87.0,0.3800812,0.014824168,0.1657948,0.04543849,0.24767208,4.3746066,526.5619
88.0,0.38008294,0.014823087,0.1657226,0.045446713,0.24773672,4.375193,526.66187
89.0,0.38008523,0.014822011,0.16565056,0.04545491,0.24780178,4.3757787,526.7619
90.0,0.3800879,0.014820934,0.16557837,0.04546311,0.24786738,4.3763647,526.8619
91.0,0.38009113,0.014819863,0.16550641,0.045471292,0.24793331,4.37695,526.96185
92.0,0.38009495,0.014818797,0.16543458,0.045479454,0.24799971,4.377534,527.0619
93.0,0.38009912,0.014817729,0.16536255,0.04548763,0.24806668,4.378119,527.16187
94.0,0.3801038,0.014816664,0.16529058,0.04549579,0.24813409,4.3787036,527.2619
95.0,0.380109,0.014815602,0.16521879,0.045503933,0.24820188,4.3792872,527.3619
96.0,0.38011464,0.014814544,0.16514695,0.045512076,0.24827017,4.379871,527.46185
97.0,0.38012087,0.014813489,0.16507524,0.0455202,0.24833892,4.380454,527.5619
98.0,0.38012743,0.014812433,0.16500339,0.04552833,0.24840817,4.3810377,527.66187
99.0,0.38013464,0.014811384,0.16493179,0.045536436,0.24847779,4.38162,527.7619
