Parameters: V_min=100, V_max=1000, V_step=10 | R_min=200, R_max=1500, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
100,200,0,0,0,0.644174,0.644174,0.64417418052813,5.7168152032795,34.9025693550438,189.330732395168
110,200,0,0,0,0.644174180788476,0.649331438994859,0.647360687863875,6.69221792856501,39.0590929955448,209.907062563359
120,200,0,0,0,0.647360688124048,0.652496456652094,0.650344870568035,7.70447692564667,43.2957029022362,230.613622360028
130,200,0,0,0,0.65034487082804,0.655505727735987,0.653174131239074,8.74383624622418,47.612811450232,251.444798610469
140,200,0,0,0,0.653174131498914,0.658399888630371,0.655888975800389,9.79943356054569,52.0126794134333,272.398368474586
150,200,0,0,0,0.655888976060065,0.661214826854494,0.658525816734917,10.8588211509124,56.499595254154,293.475232036546
160,200,0,0,0,0.658525816994431,0.663983656371168,0.661119115595161,11.9073508536463,61.0801801827624,314.679287829833
170,200,0,0,0,0.66111911585451,0.666738266585125,0.663703161020565,12.9273740818052,65.7638311632461,336.017379306063
180,200,0,0,0,0.663703161279746,0.669510622971051,0.666313658661631,13.8971971536332,70.563318406623,357.499223509529
190,200,0,0,0,0.66631365892064,0.672333934563704,0.668989228571605,14.7897232866867,75.4955518853698,379.1371897274
200,200,0,0,0,0.668989228830436,0.675243768385571,0.671772835359785,15.5707118659544,80.5825188588315,400.945719078884
210,200,0,0,0,0.671772835618427,0.678279174925556,0.674713104224342,16.1966017140868,85.8523675974547,422.940062592106
220,200,0,0,0,0.674713104482784,0.681483892388116,0.67786540729923,16.6118872590334,91.3405719738087,445.133875442655
230,200,0,0,0,0.677865407557455,0.684907730462556,0.681292582284565,16.7461007533599,97.0910762166705,467.535080671952
240,200,0,0,0,0.681292582542554,0.688608322250239,0.68506526868538,16.5104962128135,103.157345750858,490.139390429261
250,200,0,0,0,0.685065268943113,0.692653635620737,0.689262292616302,15.7944137911985,109.603461985772,512.921025134089
260,200,0,0,0,0.689262292873764,0.697126100372863,0.693972512908799,14.4607431757313,116.505976402432,535.820327067101
270,200,0,0,0,0.693972513165969,0.702130325340155,0.699301237188266,12.3384977841356,123.958396244227,558.727447136389
280,200,0,0,0,0.699301237445108,0.707809221180141,0.705387464700311,9.20738581290411,132.082510885061,581.458552129972
290,200,0,0,0,0.705387464956818,0.714381536458148,0.712446589779209,4.76113225126443,141.056777381612,603.711425908485
300,200,0,0,0,0.712446590035425,0.722244012533315,0.720884846238208,-1.49190592745518,151.193615788229,624.952860533981
310,200,0,0,0,0.720884846494182,0.732346844346213,0.731708780288274,-10.582542612971,163.216103755378,644.012188726431
320,200,0,0,0,0.731708780544147,0.746965514084324,0.750135610229978,-27.0834553072295,180.656090337257,655.543800944555
330,200,0,0,0,0.750135610492,1.00578083535167,1.00908068176883,-57.03236956076,302.991202716294,206.652183362553
340,200,0,0,0,1.00908068195798,1.00944996356734,1.00945907044123,-60.4159321581114,312.253213838249,212.353487520587
350,200,0,0,0,1.00945907062884,1.00981879870634,1.00982766867164,-63.8927750234335,321.517603681216,218.037878720943
360,200,0,0,0,1.00982766885778,1.01017837667893,1.01018702292675,-67.4626494275038,330.784311457718,223.705797887907
370,200,0,0,0,1.01018702311152,1.0105291991439,1.01053763377018,-71.125312625381,340.053278358826,229.357654856989
380,200,0,0,0,1.01053763395364,1.01087172682013,1.01087996094503,-74.8805275950776,349.324448559663,234.993838831946
390,200,0,0,0,1.01087996112726,1.01120638387182,1.01121442774269,-78.7280627620894,358.59776899266,240.614719946404
400,200,0,0,0,1.01121442792378,1.01153356171838,1.01154142479944,-82.6676917445916,367.873189143404,246.220650670242
410,200,0,0,0,1.01154142497949,1.01185362235818,1.01186131340891,-86.6991931168279,377.150660866333,251.811967079553
420,200,0,0,0,1.011861313588,1.01216690127877,1.01217442842273,-90.8223501889985,386.430138217924,257.388990006843
430,200,0,0,0,1.01217442860095,1.01247371001417,1.01248108079955,-95.0369508022701,395.711577305337,262.952026082619
440,200,0,0,0,1.01248108097701,1.01277433839944,1.01278155985256,-99.3427871371086,404.994936148773,268.501368687232
450,200,0,0,0,1.01278156002935,1.01306905656464,1.01307613523734,-103.739655534297,414.280174556008,274.037298814447
460,200,0,0,0,1.01307613541355,1.01335811670365,1.01336505871543,-108.227356327136,423.567254007802,279.560085862468
470,200,0,0,0,1.01336505889119,1.01364175464788,1.0136485657234,-112.805693684034,432.856137553006,285.06998835773
480,200,0,0,0,1.0136485658988,1.01392019126997,1.01392687677259,-117.4744754606,442.146789712372,290.567254618822
490,200,0,0,0,1.01392687694774,1.01419363373936,1.01420019870116,-122.233513060467,451.439176390174,296.052123366651
500,200,0,0,0,1.01420019887619,1.01446227664804,1.01446872579681,-127.08262130415,460.733264792854,301.5248242862
