asdlfkjh
V_ext,R_ext,x_min,x_max,x_f,T'_f,V_f,V'_f
1e-05,0,-0.956436,-0.956436,-0.956436365535522,1.15190986282077e-13,9.9999838040322e-06,0
1.0992231994262e-05,0,-0.956436365535522,-0.956436360664707,-0.956436360490899,1.39151573437391e-13,1.09909692256758e-05,0
1.20829164215677e-05,0,-0.956436360490899,-0.95643635513067,-0.9564363549394,1.68135645160379e-13,1.20815267726568e-05,0
1.32818220473149e-05,0,-0.9564363549394,-0.956436349047303,-0.956436348837052,2.03156905062922e-13,1.32802945109767e-05,0
1.45996869250589e-05,0,-0.956436348837052,-0.956436342360321,-0.956436342129205,2.4547280415543e-13,1.45980078216758e-05,0
1.60483145723841e-05,0,-0.956436342129205,-0.956436335009821,-0.956436334755779,2.96602755862518e-13,1.6046468862991e-05,0
1.76406796896541e-05,0,-0.956436334755778,-0.956436326929983,-0.956436326650731,3.58382655155117e-13,1.76386508430696e-05,0
1.93910443685143e-05,0,-0.956436326650731,-0.956436318048429,-0.956436317741466,4.33030799067559e-13,1.93888142132799e-05,0
2.13150858309737e-05,0,-0.956436317741466,-0.956436308285608,-0.956436307948187,5.23227538010516e-13,2.13126343926014e-05,0
2.34300368431669e-05,0,-0.956436307948186,-0.956436297554077,-0.956436297183175,6.32211517838831e-13,2.34273421652372e-05,0
2.57548400614196e-05,0,-0.956436297183175,-0.956436285757714,-0.95643628535001,7.63895968407072e-13,2.57518780089244e-05,0
2.83103176930237e-05,0,-0.95643628535001,-0.956436272790867,-0.956436272342705,9.2300921415183e-13,2.83070617362027e-05,0
3.11193579912976e-05,0,-0.956436272342704,-0.956436258537383,-0.956436258044753,1.11526445197603e-12,3.11157789680245e-05,0
3.42071202552833e-05,0,-0.956436258044752,-0.956436242869595,-0.956436242328087,1.34756489260981e-12,3.42031861098702e-05,0
3.76012601701693e-05,0,-0.956436242328087,-0.956436225647177,-0.956436225051935,1.62825163141905e-12,3.75969356662606e-05,0
4.13321775067103e-05,0,-0.956436225051934,-0.956436206715859,-0.956436206061551,1.96740314891817e-12,4.13274239116903e-05,0
4.54332883981776e-05,0,-0.956436206061551,-0.95643618590607,-0.956436185186838,2.37719719511605e-12,4.54280631362495e-05,0
4.9941324633498e-05,0,-0.956436185186838,-0.956436163031414,-0.956436162240818,2.87234805185548e-12,4.99355809043617e-05,0
5.4896662647216e-05,0,-0.956436162240817,-0.956436137887006,-0.956436137017956,3.470634873913e-12,5.48903490069001e-05,0
6.03436851528933e-05,0,-0.956436137017956,-0.956436110247602,-0.956436109292335,4.19354008002585e-12,6.03367450529827e-05,0
6.63311786589306e-05,0,-0.956436109292334,-0.956436079865645,-0.956436078815587,5.06702071662368e-12,6.63235499401023e-05,0
7.29127704271804e-05,0,-0.956436078815587,-0.956436046468986,-0.956436045314728,6.12244049174799e-12,7.29043847624635e-05,0
8.0147408787993e-05,0,-0.956436045314727,-0.956436009758462,-0.956436008489673,7.39769594594058e-12,8.01381910707937e-05,0
8.80998911136571e-05,0,-0.956436008489672,-0.956435969405247,-0.956435968010556,8.93857719789529e-12,8.8089758785066e-05,0
9.68414441790537e-05,0,-0.956435968010555,-0.956435925047857,-0.956435923514776,1.08004121257408e-11,9.68303064883987e-05,0
0.0001064503621075,0,-0.956435923514774,-0.956435876288957,-0.956435874603745,1.30500530224498e-11,0.000106438119299601,0
0.0001170127076159,0,-0.956435874603744,-0.956435822691754,-0.956435820839329,1.57682770614589e-11,0.000116999250037413,0
0.0001286230828391,0,-0.956435820839328,-0.956435763776126,-0.956435761739881,1.9052686767883e-11,0.000128608289956591,0
0.0001413854766384,0,-0.956435761739879,-0.956435699014282,-0.956435696775979,2.30212146450975e-11,0.00014136921595882,0
0.0001554141959829,0,-0.956435696775978,-0.956435627826063,-0.956435625365648,2.78163578010063e-11,0.000155396321866629,0
0.0001708348897446,0,-0.956435625365646,-0.956435549573719,-0.956435546869155,3.36102946318291e-11,0.000170815242101297,0
0.0001877856740787,0,-0.956435546869153,-0.956435463556189,-0.956435460583243,4.06110672952658e-11,0.000187764076933354,0
0.0002064183694671,0,-0.956435460583241,-0.956435369002843,-0.956435365734878,4.90700519768348e-11,0.00020639462938398,0
0.000226899860506,0,-0.956435365734876,-0.956435265066549,-0.956435261474289,5.92909851977971e-11,0.000226873764855845,0
0.0002494135906148,0,-0.956435261474286,-0.956435150816073,-0.956435146867325,7.16408702905436e-11,0.000249384905670706,0
0.000274161205056,0,-0.956435146867322,-0.956435025227737,-0.956435020887122,8.65631556854126e-11,0.000274129673899953,0
0.0003013643569802,0,-0.956435020887119,-0.956434887176239,-0.956434882404874,1.0459365823575e-10,0.000301329697201962,0
0.0003312666926728,0,-0.956434882404871,-0.95643473542456,-0.956434730179676,1.2637980338618e-10,0.000331228593840466,0
0.0003641360337831,0,-0.956434730179672,-0.95643456861284,-0.956434562847448,1.52703873103371e-10,0.000364094154662768,0
0.0004002667760814,0,-0.956434562847444,-0.956434385246209,-0.956434378908638,1.84511096417029e-10,0.000400220741580783,0
0.0004399825262282,0,-0.956434378908633,-0.95643418368134,-0.956434176714781,2.22943591332154e-10,0.000439931924037147,0
0.0004836390001722,0,-0.956434176714775,-0.956433962111704,-0.95643395445373,2.69381377017604e-10,0.000483583377069842,0
0.0005316272091366,0,-0.956433954453724,-0.956433718551365,-0.956433710133328,3.25491929101623e-10,0.000531566066932034,0
0.0005843769617292,0,-0.956433710133321,-0.956433450817103,-0.956433441563546,3.93290057732676e-10,0.000584309752799429,0
0.0006423607135429,0,-0.956433441563539,-0.95643315650883,-0.956433146336799,4.75210258817454e-10,0.000642286835928125,0
0.0007060977987263,0,-0.956433146336791,-0.956432832988014,-0.956432821806302,5.74194136848782e-10,0.000706016590738248,0
0.0007761590814238,0,-0.956432821806293,-0.956432477353924,-0.956432465062275,6.93796039079372e-10,0.00077606981571927,0
0.0008531720687463,0,-0.956432465062265,-0.956432086417585,-0.956432072905777,8.38310694937388e-10,0.00085307394581302,0
0.0009378265310684,0,-0.956432072905767,-0.956431656673044,-0.956431641819885,1.01292744502096e-09,0.00093771867206372,0
0.0010308806799878,0,-0.956431641819874,-0.956431184265826,-0.956431167938092,1.22391659916055e-09,0.00103076211886755,0
0.0011331679592829,0,-0.956431167938079,-0.956430664958206,-0.956430647009412,1.47885461723047e-09,0.0011330376341489,0
0.0012456045096902,0,-0.956430647009398,-0.956430094091021,-0.956430074360123,1.78689620110734e-09,0.00124546125327946,0
0.0013691973743613,0,-0.956430074360107,-0.956429466541658,-0.956429444851591,2.15910307156017e-09,0.00136903990359122,0
0.0015050535184914,0,-0.956429444851574,-0.956428776677817,-0.956428752833884,2.60884124050312e-09,0.00150488042296768,0
0.0016543897439038,0,-0.956428752833865,-0.956428018306656,-0.956427992094793,3.1522610501828e-09,0.0016541994732884,0
0.0018185435873918,0,-0.956427992094772,-0.956427184618809,-0.956427155803632,3.80887722502287e-09,0.00181833443751723,0
0.0019989853004288,0,-0.956427155803609,-0.956426268126795,-0.956426236449475,4.60226977597827e-09,0.00199875539803446,0
0.0021973310175433,0,-0.95642623644945,-0.956425260597218,-0.956425225773131,5.56093094067175e-09,0.00219707830349789,0
0.0024153572313024,0,-0.956425225773104,-0.956424152976121,-0.956424114692284,6.71928859155698e-09,0.00241507944216084,0
0.0026550167035495,0,-0.956424114692254,-0.956422935306819,-0.956422893219026,8.11894288783488e-09,0.00265471135128046,0
0.0029184559554056,0,-0.956422893218993,-0.956421596639424,-0.956421550369129,9.81016061311621e-09,0.00291812030510756,0
0.0032080344926854,0,-0.956421550369093,-0.956420124931177,-0.956420074062034,1.18536809060058e-08,0.00320766553809085,0
0.0035263459389193,0,-0.956420074061995,-0.956418506936683,-0.956418451010768,1.43228972885174e-08,0.00352594037546935,0
0.0038762412652624,0,-0.956418451010724,-0.956416728086975,-0.956416666600575,1.73064944309883e-08,0.00387579546050942,0
0.0042608543253496,0,-0.956416666600527,-0.956414772356227,-0.956414704755249,2.09116344497106e-08,0.00426036428642278,0
0.0046836299237998,0,-0.956414704755196,-0.956412622114836,-0.956412547789705,2.52678073045807e-08,0.00468309126164271,0
0.0051483546697675,0,-0.956412547789647,-0.956410257967439,-0.956410176247507,3.05314837618644e-08,0.00514776255982782,0
0.0056591908918826,0,-0.956410176247444,-0.956407658574253,-0.956407568721604,3.68917382739589e-08,0.00565854003090038,0
0.0062207139183388,0,-0.956407568721534,-0.956404800453959,-0.956404701656577,4.45770440468796e-08,0.00621999847684764,0
0.0068379530560314,0,-0.956404701656501,-0.956401657766141,-0.956401549130387,5.38634847783974e-08,0.0068371666261463,0
0.007516436635777,0,-0.956401549130303,-0.956398202071094,-0.956398082613371,6.5084678581201e-08,0.00751557217380253,0
0.0082622415270631,0,-0.956398082613279,-0.95639440206448,-0.956394270702053,7.86437713019059e-08,0.00826129129040564,0
0.0090820475658103,0,-0.956394270701951,-0.956390223284103,-0.956390078824912,9.50279310417676e-08,0.00908100304363168,0
0.0099831973826309,0,-0.9563900788248,-0.956385627785689,-0.956385468917134,1.14825865880476e-07,0.00998204921961981,0
0.0109737621674389,0,-0.956385468917011,-0.956380573784183,-0.956380399060673,1.3874899587179e-07,0.0109725000800202,0
0.0120626139594343,0,-0.956380399060537,-0.956375015256663,-0.956374823085825,1.67657042277022e-07,0.0120612266436643,0
0.0132595051099325,0,-0.956374823085676,-0.956368901502448,-0.956368690129884,2.02588956523438e-07,0.0132579801402525,0
0.014575155629748,0,-0.956368690129721,-0.956362176655439,-0.956361944147781,2.44800304323111e-07,0.0145734793476975,0
0.0160213492034664,0,-0.956361944147601,-0.956354779143049,-0.956354523369163,2.95808453792804e-07,0.0160195065953475,0
0.0176110387305587,0,-0.956354523368965,-0.956346641085345,-0.956346359695446,3.57447198796506e-07,0.017609013292967,0
0.0193584623386234,0,-0.956346359695229,-0.956337687627144,-0.956337378029593,4.3193279040731e-07,0.0193562359306338,0
0.0212792709078331,0,-0.956337378029354,-0.956327836194801,-0.956327495530217,5.21943762870494e-07,0.0212768235885194,0
0.0233906682487651,0,-0.956327495529954,-0.956316995668213,-0.956316620780674,6.30717440917248e-07,0.0233879780985999,0
0.0257115651891244,0,-0.956316620780385,-0.956305065457243,-0.956304652862098,7.62166621137664e-07,0.0257086081136527,0
0.0282627489494446,0,-0.956304652861781,-0.956291934470066,-0.956291480317973,9.21020653719647e-07,0.0282594984634839,0
0.0310670693247879,0,-0.956291480317624,-0.956277479959104,-0.956276979995766,1.11299603932667e-06,0.0310634963152098,0
0.0341496433399888,0,-0.956276979995382,-0.956261566227885,-0.956261015748888,1.34500273220001e-06,0.0341457158049677,0
0.037538080211446,0,-0.956261015748465,-0.956244043179527,-0.956243436979609,1.62539364481043e-06,0.0375337629738352,0
0.0412627286303429,0,-0.956243436979145,-0.956224744684288,-0.956224077000215,1.96426643033112e-06,0.041257983022605,0
0.0453569485821005,0,-0.956224076999705,-0.956203486739812,-0.956202751185941,2.3738285362619e-06,0.0453517320999802,0
0.049857410136626,0,-0.956202751185379,-0.956180065393029,-0.95617925488841,2.86883884809452e-06,0.0498516760584588,0
0.0548044218854862,0,-0.956179254887793,-0.95615425438708,-0.95615336107284,3.46714206433578e-06,0.0547981188537372,0
0.0602422919676673,0,-0.956153361072161,-0.95612580248979,-0.956124817635171,4.19031537142438e-06,0.0602353635289412,0
0.0662197249174663,0,-0.956124817634424,-0.956094430451862,-0.956093344347086,5.0644511511663e-06,0.0662121090168835,0
0.0727902578889,0,-0.956093344346265,-0.956059827532723,-0.956058629366436,6.1211045160869e-06,0.072781886314298,0
0.0800127401636948,0,-0.956058629365533,-0.956021647519213,-0.956020325237758,7.39844062827813e-06,0.0800035379346749,0
0.0879518602375935,0,-0.956020325236764,-0.955979504146558,-0.95597804429184,8.94262425936622e-06,0.0879417449339659,0
0.0966787252058533,0,-0.955978044290747,-0.955932965811292,-0.955931353333173,1.08095031947081e-05,0.0966676062294382,0
0.106271497637224,0,-0.95593135333197,-0.955881549440872,-0.955879767479142,1.30666482469551e-05,0.106259275400395,0
0.116816095640603,0,-0.95587976747782,-0.955824713353173,-0.955822742983006,1.57958262858351e-05,0.11680266067433,0
0.128406962394541,0,-0.95582274298155,-0.955761848898602,-0.955759668831824,1.90959993896035e-05,0.128392194367927,0
0.141147912031926,0,-0.955759668830222,-0.955692270625628,-0.955689856858231,2.30869637020828e-05,0.141131678674467,0
0.155153059456061,0,-0.955689856856468,-0.955615204642824,-0.955612530036592,2.79137667476498e-05,0.155135215372934,0
0.170547842416055,0,-0.955612530034652,-0.955529774762045,-0.955526808544771,3.37520729689061e-05,0.170528227785914,0
0.187470144995811,0,-0.955526808542635,-0.955434985889979,-0.955431693054356,4.08146855814832e-05,0.18744858413931,0
0.206071532579188,0,-0.955431693052004,-0.955329703978676,-0.955326044553881,4.935948038772e-05,0.206047832385522,0
0.226518609352356,0,-0.955326044551291,-0.955212631633622,-0.955208559795488,5.96990664305673e-05,0.226492557549649,0
0.248994510501869,0,-0.955208559792634,-0.955082278187979,-0.95507774116242,7.22125625685391e-05,0.248965873755949,0
0.273700542473424,0,-0.955077741159276,-0.954936922649671,-0.954931859348333,8.73599725873153e-05,0.27366906429794,0
0.300857985982324,0,-0.954931859344867,-0.954774567362861,-0.954768906667798,0.000105699760299034,0.300823384441565,0
0.330710077924412,0,-0.954768906663976,-0.954592879418624,-0.954586538000839,0.000127910378512929,0.330672043108067,0
0.363524189938559,0,-0.954586537996623,-0.954389115677987,-0.954381995187898,0.0001548167036045,0.363482381186062,0
0.39959422313308,0,-0.954381995183245,-0.954160025537219,-0.954152008935174,0.000187422587933813,0.399548265982383,0
0.43924324042457,0,-0.954152008930035,-0.953901722947113,-0.953892669635373,0.000226951091591316,0.439192723258352,0
0.482826360065826,0,-0.953892669629694,-0.953609515151386,-0.953599254402025,0.000274894433423024,0.482770830424757,0
0.530733936278863,0,-0.953599254395744,-0.953277669190714,-0.953265991095507,0.000333076374591093,0.530672896809113,0
0.583395055480511,0,-0.953265991088553,-0.952899086736461,-0.952885729459802,0.000403730726605951,0.583327959479297,0
0.641281379414711,0,-0.952885729452093,-0.952464840119045,-0.952449471470528,0.000489601154882115,0.641207625933605,0
0.704911369612685,0,-0.952449471461968,-0.951963491365075,-0.951945681340368,0.000594069790498281,0.704830298075199,0
0.774854931017558,0,-0.951945681330844,-0.951380059097651,-0.951359237468195,0.000721326078400558,0.774765815302758,0
0.851738516364285,0,-0.951359237457571,-0.950694388016749,-0.950669775945979,0.000876594271193092,0.851640558303128,0
0.936250737032473,0,-0.950669775934086,-0.949878448809938,-0.949848942612887,0.00106645139530717,0.936143059259104,0
1.02914853062597,0,-0.949848942599509,-0.948891591321397,-0.948855551317242,0.00129929571016359,1.02903016871945,0
1.13126394051945,0,-0.948855551302087,-0.947671533948696,-0.947626366357867,0.00158609170503808,1.13113383436585,0
1.24351156809328,0,-0.947626366340517,-0.946115411564202,-0.946056637511209,0.0019416950711612,1.24336855239085,0
1.36689676440298,0,-0.946056637491,-0.94403366502571,-0.943952461543934,0.00238763503777641,1.366739558225,0
