Parameters: V_min=1, V_max=30, V_step=0.25 | R_min=0, R_max=1000, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001, (Increasing V_ext)
V_ext,R_ext,spike_count,x_min,x_max,x_f,T'_f,V_f,V'_f
1,0,0,-0.949177,-0.949177,-0.949177450408184,0.00122374471015285,0.999999999983347,0
1.25,0,0,-0.949177450381984,-0.945954999105119,-0.945954999105119,0.00196414376889914,1.24999998555561,0
1.5,0,0,-0.945954999078904,-0.940947030722802,-0.940947030722802,0.0029489010030111,1.49999998555561,0
1.75,0,0,-0.940947030696571,-0.927417977093559,-0.927417977093559,0.0044927991121387,1.74999998555561,0
2,0,78,-0.950687209757377,-0.0270556759402001,-0.849299127048323,0.879140752648234,1.99999998555561,0
2.25,0,103,-0.95155934201942,-0.0446199974842809,-0.948119523600332,0.718772235035489,2.24999998555563,0
2.5,0,122,-0.952200777592012,-0.062617555123302,-0.886264115651786,0.30545964055142,2.49999998555563,0
2.75,0,139,-0.952706225766842,-0.0776418074293074,-0.945050422758713,0.891105237791642,2.74999998555563,0
3,0,154,-0.953121035590258,-0.0915776304533508,-0.193266152369821,0.78757096123158,2.99999998555563,0
3.25,0,167,-0.953470864089632,-0.103598601470887,-0.168253960571193,1.08498821118731,3.24999998555563,0
3.5,0,179,-0.953771763174945,-0.114609096506345,-0.933573426753631,1.07930995456619,3.49999998555563,0
3.75,0,192,-0.954034484979318,-0.124610506003718,-0.135152572975133,2.34181243937604,3.74999998555563,0
4,0,202,-0.954266599539448,-0.134343026956476,-0.842056292361738,1.0095477634029,3.99999998555563,0
4.25,0,214,-0.954473643403858,-0.142561850340532,-0.459789688512701,3.59252235482677,4.24999998555533,0
4.5,0,224,-0.954659790514923,-0.150987943512459,-0.478792353721627,1.01609704400314,4.49999998555533,0
4.75,0,233,-0.954828265877396,-0.158413434559579,-0.941245914272725,1.99563897762574,4.74999998555533,0
5,0,243,-0.954981612954578,-0.16565443181233,-0.769667071934199,1.42192144277681,4.99999998555533,0
5.25,0,253,-0.955121872720013,-0.172496734669838,-0.825685426258817,3.57968643410712,5.24999998555533,0
5.5,0,262,-0.955250707575696,-0.179179227780935,-0.656796883792366,1.55509750627037,5.49999998555533,0
5.75,0,270,-0.95536948895458,-0.185316705345908,-0.410690754787351,4.8427662806555,5.74999998555533,0
6,0,279,-0.955479361420082,-0.191453265951714,-0.212107575058638,2.91909418941028,5.99999998555533,0
6.25,0,287,-0.955581289493335,-0.197118604614105,-0.639894479835781,4.81301491177478,6.24999998555533,0
6.5,0,295,-0.955676093409199,-0.20266699510708,-0.93085693018748,2.84875056414919,6.49999998555533,0
6.75,0,304,-0.955764476271226,-0.20786334338501,-0.284033426923889,2.63989487981285,6.74999998555533,0
7,0,311,-0.955847045182095,-0.213059735108266,-0.524891595016465,5.63956606950008,6.99999998555533,0
7.25,0,319,-0.955924327709182,-0.218046208923779,-0.246674084327986,5.24711173909791,7.24999998555533,0
7.5,0,326,-0.95599678508927,-0.2228549449914,-0.948669152420969,4.00784433970606,7.49999998555533,0
7.75,0,334,-0.956064822807014,-0.227383854831994,-0.896633296542791,5.16040516388482,7.74999998555533,0
8,0,341,-0.956128799073947,-0.231912294631022,-0.951711690965673,4.5281956888629,7.99999998555533,0
8.25,0,348,-0.956189031814696,-0.23624399073157,-0.802817983431123,3.23713986964466,8.24999998555409,0
8.5,0,356,-0.956245804441648,-0.240455802357917,-0.366098842253361,6.78955559558502,8.49999998555409,0
8.75,0,362,-0.956299370551615,-0.244663692673076,-0.954108956123249,5.21101618785189,8.74999998555409,0
9,0,369,-0.956349958014393,-0.248611539041283,-0.931940486839734,4.38545934228087,8.99999998555409,0
9.25,0,376,-0.956397772157402,-0.252486733362763,-0.944946287434953,4.90430976968385,9.24999998555409,0
9.5,0,383,-0.956442998638913,-0.256302501728935,-0.439164083581786,7.55748941897042,9.49999998555409,0
9.75,0,389,-0.95648580590221,-0.26007798013759,-0.890168668159117,6.55383221046899,9.74999998555409,0
10,0,396,-0.956526347119278,-0.263669177491157,-0.267380140849852,5.98021424132999,9.99999998555409,0
10.25,0,402,-0.956564761528942,-0.26724059570879,-0.479197511968186,8.07144777509624,10.2499999855541,0
10.5,0,408,-0.956601178333194,-0.27068994049707,-0.922491429589709,5.15369513217884,10.4999999855541,0
10.75,0,415,-0.956635713164443,-0.274008329255138,-0.954742103669412,6.89899127071827,10.7499999855541,0
11,0,421,-0.956668474067397,-0.277347101567728,-0.898269916939233,7.36633083896658,10.9999999855541,0
11.25,0,427,-0.956699560046199,-0.280590458901035,-0.954241292750776,6.78681630129464,11.2499999855541,0
11.5,0,433,-0.956729062436835,-0.283749143659164,-0.925463843078151,5.80131610800915,11.4999999855541,0
11.75,0,440,-0.956757065656946,-0.286838268472221,-0.708379151223726,4.97040376042837,11.7499999855541,0
12,0,445,-0.956783647871972,-0.289903028571704,-0.375443833151923,5.40295373203824,11.9999999855541,0
12.25,0,451,-0.956808881560855,-0.292928171720732,-0.307030888244809,6.6452146738453,12.2499999855541,0
12.5,0,457,-0.956832834125013,-0.295868791388403,-0.533526218192978,5.21965768429721,12.4999999855541,0
12.75,0,462,-0.956855568216345,-0.298718885757824,-0.939996055513475,6.88311974222606,12.7499999855541,0
13,0,469,-0.956877142269952,-0.301511056583154,-0.357388095986147,6.25405942469651,12.9999999855541,0
13.25,0,474,-0.956897610810905,-0.30433844110844,-0.328800833356565,9.19417095415216,13.2499999855541,0
13.5,0,480,-0.956917024851506,-0.307059792867118,-0.747068192541608,6.04612640660907,13.4999999855541,0
13.75,0,485,-0.956935432062445,-0.309702758593127,-0.393521190722916,10.2396070883726,13.7499999855541,0
14,0,491,-0.956952877166414,-0.312367899017224,-0.404523994305594,6.4783146337706,13.9999999855541,0
14.25,0,496,-0.956969402131003,-0.314963578310188,-0.826092651618951,9.87436519067945,14.2499999855541,0
14.5,0,502,-0.956985046359706,-0.317488794186895,-0.386818406612915,10.6390030760814,14.4999999855541,0
14.75,0,507,-0.956999846928441,-0.320013531397555,-0.826863046934856,10.2090024443165,14.7499999855541,0
15,0,513,-0.957013838742474,-0.322464989055323,-0.594218508191437,6.63937739687335,14.9999999855541,0
15.25,0,517,-0.957027054714472,-0.32490100346936,-0.787962315796768,7.17593426369053,15.2499999855541,0
15.5,0,524,-0.957039525879045,-0.327276715636846,-0.425554555089174,7.28887750382922,15.4999999855541,0
15.75,0,528,-0.957051281559692,-0.329670529811336,-0.949464656725495,10.2114045247224,15.7499999855541,0
16,0,534,-0.957062349489002,-0.331964813470852,-0.336385330116698,9.39291294899764,15.9999999855541,0
16.25,0,539,-0.95707275589648,-0.3342807629206,-0.674168605537694,7.44718877248638,16.2499999855571,0
16.5,0,543,-0.957082525615096,-0.336518282771034,-0.760170154165363,7.80494952722435,16.4999999855571,0
16.75,0,550,-0.95709168221426,-0.338736646901844,-0.662250842519204,7.71252471689419,16.7499999855571,0
17,0,554,-0.957100248028741,-0.340941237716079,-0.40783844131919,8.42407199324347,16.9999999855571,0
17.25,0,559,-0.957108244276385,-0.343126456777459,-0.458523009602252,12.7433709136878,17.2499999855571,0
17.5,0,564,-0.957115691125885,-0.345252260178509,-0.79957197082576,12.1902652774028,17.4999999855571,0
17.75,0,569,-0.957122607751438,-0.347350140883933,-0.956856204709435,11.1845574700576,17.7499999855571,0
18,0,574,-0.957129012397988,-0.349422811318877,-0.9513273717767,10.7359542560679,17.9999999855571,0
18.25,0,579,-0.9571349224431,-0.351472751464228,-0.952997096324396,11.0387242881621,18.2499999855571,0
18.5,0,584,-0.957140354456886,-0.353502290272543,-0.885886945771239,12.405222338415,18.4999999855571,0
18.75,0,589,-0.957145324231359,-0.355513488456376,-0.36245659610925,12.140458129306,18.7499999855571,0
19,0,593,-0.957149846841724,-0.357508113569981,-0.93704131651351,10.6503051438396,18.9999999855571,0
19.25,0,599,-0.957153936685819,-0.359433383835474,-0.527659253418027,9.15113574082997,19.2499999855571,0
19.5,0,603,-0.957157607521422,-0.361396437099961,-0.37551200461857,10.954161620344,19.4999999855571,0
19.75,0,608,-0.957160872499726,-0.363303174501434,-0.680946608987506,9.47686011829267,19.7499999855571,0
20,0,612,-0.957163744201081,-0.365177430053746,-0.941015673752437,13.0217051126609,19.9999999855571,0
20.25,0,617,-0.957166234673191,-0.367033368470509,-0.929483925932259,11.2284561570065,20.2499999855571,0
20.5,0,622,-0.957168355451234,-0.368866335174524,-0.951048120509601,12.2738947440238,20.4999999855571,0
20.75,0,627,-0.957170117590282,-0.370692608360747,-0.373099970140871,12.5211704880427,20.7499999855571,0
21,0,631,-0.957171531690144,-0.372517714327557,-0.556629553628024,15.3306155763776,20.9999999855571,0
21.25,0,636,-0.957172615176648,-0.374293105013742,-0.581870016429955,10.2660746078936,21.2499999855571,0
21.5,0,640,-0.957173587084542,-0.376063146726041,-0.582705910275439,15.6417347758446,21.4999999855571,0
21.75,0,645,-0.957174321016246,-0.377799158185116,-0.39200607832748,12.3056248617213,21.7499999855571,0
22,0,649,-0.957174754837789,-0.379532305448234,-0.89530298616719,14.6377648407503,21.9999999855571,0
22.25,0,654,-0.95717488111493,-0.381224283849504,-0.604707352484589,16.1086852306374,22.2499999855571,0
22.5,0,658,-0.957174690534594,-0.382921109356919,-0.951754187642484,13.5817440165679,22.4999999855571,0
22.75,0,663,-0.957174230843668,-0.384580157793421,-0.745920636505954,15.9680573909685,22.7499999855571,0
23,0,667,-0.957173460677469,-0.386245966559445,-0.956037936225195,14.3511658004891,22.9999999855571,0
23.25,0,672,-0.957172433256714,-0.387876981173797,-0.391105063346315,14.7006139129441,23.2499999855571,0
23.5,0,676,-0.957171102653581,-0.389516233115397,-0.391481612578581,14.2792119637865,23.4999999855571,0
23.75,0,680,-0.957169534263004,-0.391123486413838,-0.935198716440071,15.4774448294176,23.7499999855571,0
24,0,685,-0.957167733159485,-0.392700747673822,-0.418804287147798,16.2371855297969,23.9999999855571,0
24.25,0,689,-0.957165635796778,-0.394288533181597,-0.451583581785467,16.952079064038,24.2499999855571,0
24.5,0,693,-0.957163316590583,-0.395848548187979,-0.957003566542593,15.455769144269,24.4999999855571,0
24.75,0,698,-0.957160797103001,-0.39738229934828,-0.402961826434353,15.8800136610244,24.7499999855571,0
25,0,702,-0.957157979664347,-0.398928453905631,-0.499957745388059,12.8070263800913,24.9999999855571,0
25.25,0,706,-0.957154959970842,-0.400450296412235,-0.426042777496059,17.0314641879242,25.2499999855571,0
25.5,0,710,-0.957151744783953,-0.401949192742242,-0.956264127441006,15.9514619639064,25.4999999855571,0
25.75,0,715,-0.957148342116272,-0.403426468104582,-0.405014603277426,15.7773866138401,25.7499999855571,0
26,0,719,-0.957144645969592,-0.404918254764973,-0.734367002155749,13.2793618253825,25.9999999855571,0
26.25,0,722,-0.957140763926823,-0.406376832951847,-0.796512607581152,13.6792506026738,26.2499999855571,0
26.5,0,728,-0.957136710725945,-0.407823602444763,-0.598734578781621,13.3837157774925,26.4999999855571,0
26.75,0,731,-0.957132479878754,-0.409276630073269,-0.549826089807708,19.0823398642528,26.7499999855571,0
27,0,735,-0.957128067816118,-0.410694120769968,-0.946498459645543,16.0152806476686,26.9999999855571,0
27.25,0,740,-0.957123471583927,-0.412095582977798,-0.414341534066365,17.1020336671178,27.2499999855571,0
27.5,0,743,-0.957118631885964,-0.41351390527294,-0.919089290485178,15.4808603887928,27.4999999855571,0
27.75,0,748,-0.957113606985247,-0.414887940875722,-0.833358484465438,18.8058742572348,27.7499999855571,0
28,0,752,-0.957108551489121,-0.416274884875492,-0.418315037759784,17.5409689349278,27.9999999855571,0
28.25,0,756,-0.957103201895493,-0.41765073739393,-0.722925906581886,14.5770450256666,28.2499999855571,0
28.5,0,759,-0.957097683534386,-0.419004940528934,-0.922140451770766,16.1519161357436,28.4999999855571,0
28.75,0,764,-0.957092015010833,-0.420337134306098,-0.956111734870313,17.9692047427663,28.7499999855571,0
29,0,768,-0.957086333907882,-0.421675217539684,-0.786100266603643,19.913866436684,28.9999999855571,0
29.25,0,772,-0.957080352205426,-0.423004783518342,-0.456043922926259,19.7907899986569,29.2499999855571,0
29.5,0,776,-0.957074198111794,-0.424324107114806,-0.649737426647911,15.1795133087313,29.4999999855571,0
29.75,0,779,-0.957067918682728,-0.425632901085507,-0.934170281006244,17.2114741245809,29.7499999855571,0
30,0,784,-0.957061474040233,-0.426907784418976,-0.777264015833766,20.622831588764,29.9999999855571,0
1,50,0,-0.949553280973628,-0.949553280670408,-0.949553280670408,0.00105513459863072,0.964694542278361,-0.283824776972104
1.25,50,0,-0.949553280644211,-0.946623320023861,-0.946623320023861,0.00168340007342218,1.20481679998993,-0.362916323818302
1.5,50,0,-0.946623319997649,-0.94232960369175,-0.94232960369175,0.00249895221717696,1.44387889747854,-0.45017796737157
1.75,50,0,-0.942329603665523,-0.933846606666614,-0.933846606666614,0.0036099261194822,1.6799214113659,-0.560602201762268
2,50,1,-0.933846606640372,0.548162084378116,0.548162084378033,0.00061700318511142,0.981479563783987,4.16434026380567
2.25,50,0,0.548162084404269,0.553079649784139,0.553079649783863,-8.27999056585143e-05,1.12720844423937,4.68655168001016
2.5,50,0,0.553079649810094,0.557155467374783,0.557155467374474,-0.000985927537726512,1.27367514215376,5.20549955949324
2.75,50,0,0.557155467400703,0.560650681890552,0.560650681890213,-0.00210787067494895,1.42104960230727,5.72173962395928
3,50,0,0.560650681916438,0.56371967658918,0.56371967658881,-0.00346115831801742,1.56938312336026,6.23559114384084
3.25,50,0,0.563719676615031,0.566461692625557,0.566461692624916,-0.00505653012660712,1.71867746451552,6.74726060194683
3.5,50,0,0.566461692651133,0.568944477910258,0.568944477908298,-0.00690349477687945,1.86891270320364,7.25689370132832
3.75,50,0,0.568944477934513,0.571216430095467,0.571216430089341,-0.00901063952522631,2.02005961807793,7.76460020531969
4,50,0,0.571216430115552,0.573313376005755,0.57331337599027,-0.0113858223478932,2.17208554167467,8.27046699643163
4.25,50,0,0.573313376016477,0.575262608270382,0.575262608235625,-0.0140363016612504,2.32495721843574,8.77456548382953
4.5,50,0,0.575262608261829,0.577085415091629,0.577085415021647,-0.016968829593672,2.47864220562916,9.27695607563745
4.75,50,0,0.577085415047848,0.578798733283798,0.57879873315499,-0.0201897222660072,2.63310953487616,9.77769102521858
5,50,0,0.578798733181187,0.580416266645201,0.580416266424949,-0.0237049146836164,2.78832998868776,10.2768163254679
5.25,50,0,0.580416266451143,0.581949265190158,0.581949264835784,-0.027520004797822,2.94427617438209,10.7743730198213
5.5,50,0,0.581949264861975,0.583407081957841,0.583407081415947,-0.0316402896428965,3.10092249229394,11.2703981409358
5.75,50,0,0.583407081442133,0.584797579692349,0.584797578898543,-0.0360707954866371,3.25824505092364,11.7649254031255
6,50,0,0.584797578924726,0.586127433624072,0.58612743250308,-0.0408163033403438,3.41622155798727,12.2579857267186
6.25,50,0,0.58612743252926,0.587402360749203,0.587402359215309,-0.0458813707935201,3.57483120332737,12.7496076444027
6.5,50,0,0.587402359241485,0.58862729608944,0.588627294047202,-0.0512703508864509,3.7340545423646,13.2398176225852
6.75,50,0,0.588627294073375,0.589806530036579,0.589806527381784,-0.056987408559393,3.89387338464406,13.7286403201367
7,50,0,0.589806527407953,0.590943816685777,0.590943813306412,-0.0630365350933807,4.05427068965727,14.2160987999824
7.25,50,0,0.590943813332578,0.592042460234117,0.592042456011976,-0.0694215608727892,4.21523047090856,14.7022147048791
7.5,50,0,0.592042456038138,0.593105384581764,0.593105379393313,-0.0761461667195089,4.37673770805662,15.1870084044963
7.75,50,0,0.593105379419472,0.594135189919047,0.594135183636852,-0.0832138940218057,4.5387782672067,15.670499120812
8,50,0,0.594135183663008,0.595134199122557,0.59513419161659,-0.0906281538230484,4.70133882856111,16.1527050351914
8.25,50,0,0.595134191642743,0.596104496092339,0.59610448723104,-0.0983922349900504,4.8644068209393,16.633643381778
8.5,50,0,0.596104487257189,0.597047957658313,0.59704794730984,-0.106509311640777,5.02797036255277,17.1133305274014
8.75,50,0,0.597047947335986,0.597966280312021,0.597966268345466,-0.114982449848531,5.19201820745073,17.5917820432564
9,50,0,0.597966268371608,0.598861002741968,0.598860989028238,-0.123814613761311,5.35653969695541,18.0690127672346
9.25,50,0,0.598860989054376,0.599733524941255,0.599733509353961,-0.133008671189892,5.52152471571594,18.5450368595854
9.5,50,0,0.599733509380096,0.600585124496398,0.60058510691265,-0.142567398724593,5.68696365182299,19.01986785254
9.75,50,0,0.600585106938782,0.601416970543466,0.601416950844565,-0.152493486434609,5.852847360576,19.4935186947967
10,50,0,0.601416950870693,0.602230135782336,0.602230113854368,-0.16278954219321,6.01916713152104,19.9660017915699
10.25,50,0,0.602230113880493,0.60302560686544,0.603025582599785,-0.173458095668873,6.18591465841928,20.4373290407815
10.5,50,0,0.603025582625907,0.603804293418696,0.60380426671245,-0.184501602015828,6.35308201184346,20.9075118658829
10.75,50,0,0.603804266738568,0.60456703590579,0.604567006662094,-0.195922445293778,6.52066161413338,21.3765612457172
11,50,0,0.604567006688209,0.605314612509806,0.605314580638112,-0.207722941642898,6.68864621647162,21.8444877417704
11.25,50,0,0.605314580664224,0.606047745176361,0.606047710592625,-0.219905342237096,6.85702887786741,22.3113015231087
11.5,50,0,0.606047710618733,0.606767104938279,0.606767067565089,-0.232471836035899,7.02580294586039,22.7770123892575
11.75,50,0,0.606767067591193,0.607473316622181,0.607473276388833,-0.245424552353004,7.19496203877655,23.2416297912418
12,50,0,0.607473276414934,0.608166963021395,0.608166919863917,-0.258765563257734,7.36450002938735,23.7051628509806
12.25,50,0,0.608166919890015,0.60884858860637,0.608848542467498,-0.27249688582277,7.53441102983913,24.1676203792005
12.5,50,0,0.608848542493592,0.609518702832949,0.609518653662072,-0.286620484233374,7.70468937773453,24.629010892014
12.75,50,0,0.609518653688163,0.610177783099836,0.610177730852902,-0.301138271766439,7.87532962325973,25.0893426262923
