Parameters: V_min=1, V_max=80, V_step=0.25 | R_min=1000, R_max=2000, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001, (Increasing V_ext)
V_ext,R_ext,spike_count,x_min,x_max,x_f,T'_f,V_f,V'_f
1,1000,0,-0.952876,-0.952876,-0.952875905321365,6.81196260573834e-05,0.584124986591449,-2.0243577087747
1.25,1000,0,-0.952875905295189,-0.95175405930106,-0.95175405930106,0.000103722148249827,0.727315247567874,-2.53437661289977
1.5,1000,0,-0.951754059274876,-0.950495768436297,-0.950495768436297,0.000144945377749029,0.868948265411395,-3.04639536410773
1.75,1000,0,-0.950495768410105,-0.949063821364258,-0.949063821364258,0.0001903981479864,1.00867889334401,-3.56073691190714
2,1000,0,-0.949063821338058,-0.947403684141147,-0.947403684141147,0.00023816673935304,1.14601305411827,-4.07783298441294
2.25,1000,0,-0.947403684114939,-0.945431018287292,-0.945431018287292,0.00028546926596682,1.28020428904884,-4.59828249031675
2.5,1000,0,-0.945431018261075,-0.943005817173988,-0.943005817173988,0.000327954091607505,1.41004149086081,-5.12295420663544
2.75,1000,0,-0.943005817147764,-0.939872020540008,-0.939872020540008,0.000358088645908207,1.53335734790877,-5.65317382750042
3,1000,0,-0.939872020513776,-0.935492003085897,-0.935492003085897,0.000360783067920522,1.64568758739316,-6.19103992270773
3.25,1000,0,-0.935492003059658,-0.928491420902989,-0.928491420904689,0.000298569481789677,1.73575558709015,-6.73937743531155
3.5,1000,10,-0.955056603377771,-0.392223727037051,-0.946197320427483,0.000689118910198482,1.23319496472436,-3.05441011697818
3.75,1000,14,-0.95508200280534,-0.38404893307761,-0.745680637883974,0.00225551190151063,1.73501740220144,-5.82987223157797
4,1000,16,-0.955086097377151,-0.37796021748297,-0.950297844179255,0.000180214669503424,0.890861487441116,-2.45533207102304
4.25,1000,18,-0.955079217914763,-0.372875132076144,-0.752965398519477,0.00320386199544414,1.77948532782402,-5.05091525879047
4.5,1000,21,-0.955064923581291,-0.368460655664176,-0.931119422670664,0.00186423093110444,1.71964351242897,-3.76792928414685
4.75,1000,23,-0.955048207713978,-0.364109317122643,-0.938564503338108,0.00154651578229224,1.5785343635657,-3.17542700566075
5,1000,25,-0.955023533262443,-0.360631168454543,-0.945017486936847,0.00093201956647501,1.30830953868649,-2.57164447990916
5.25,1000,27,-0.954996047445856,-0.357359252137143,-0.952358384096878,-0.000956355888552486,0.652323131040846,-2.08317553953824
5.5,1000,28,-0.954966120357267,-0.354251210165311,-0.935747203800338,0.00180499644015557,1.64925419200141,-3.02851197171936
5.75,1000,31,-0.954934865336562,-0.351122316409783,-0.380454634402942,-0.00523496854481534,0.921172011164636,-7.55974078138147
6,1000,31,-0.954899702760622,-0.34844703940194,-0.75721995839746,0.00445794372881251,1.86734796919037,-3.88844660370121
6.25,1000,34,-0.954863043300964,-0.345813320740228,-0.945684344630646,0.000817897987773438,1.2687621885365,-2.24031002283097
6.5,1000,35,-0.954824905805615,-0.343210839624272,-0.93596744458673,0.00182820671954344,1.64702365252384,-2.70447588423428
6.75,1000,37,-0.954784996240577,-0.340702838762581,-0.946336514238326,0.000675706992626822,1.22640403046895,-2.11645990121834
7,1000,38,-0.954742736814955,-0.338445418394845,-0.921834951473288,0.00243929602382513,1.80623281641261,-2.88816232994259
7.25,1000,40,-0.95469912906181,-0.33615993360741,-0.941399747045601,0.00132442396870943,1.48634679310757,-2.30478640074163
7.5,1000,42,-0.954654121553927,-0.334006211792931,-0.686643868775809,0.00653875628750569,1.89907471385136,-3.71919065013903
7.75,1000,42,-0.954607257765382,-0.331974939259806,-0.940120106112879,0.00143445287961573,1.53446941432434,-2.28051114323405
8,1000,44,-0.954559245784112,-0.329893856207515,-0.922422805858602,0.00242535459313238,1.80991910699556,-2.64705697240434
